name,ring,quadrant,isNew,description
Self-Contained Systems with microservices,Adopt,Techniques,FALSE,"<p>The <strong><a href=""https://scs-architecture.org/"">Self-Contained Systems</a></strong> (SCS) with <strong><a href=""https://martinfowler.com/articles/microservices.html"">microservices</a></strong> is an architecture style focussing on separation of functionality into many independent sub-systems, making our productline/products a collaboration of such software sub-systems. This avoids the problem of large monoliths that grow constantly and eventually become unmaintainable. This architecture style combines the benefits of monolithic patterns as well as microservice patterns and keeps the potential complexity of a pure microservice architecture under control.</p>"
Domain Driven Design,Adopt,Techniques,FALSE,"<p>Use <strong><a href=""https://en.wikipedia.org/wiki/Domain-driven_design"">Domain Driven Design</a></strong> concepts and principles for decomposing our application/solution into sub-systems which are responsible for entire life cycle of thier domain.</p>"
Arc42,Adopt,Techniques,FALSE,"<p><strong><a href=""https://docs.arc42.org/home/"">Arc42</a></strong> is our standard way for documenting and communicating software and system architectures.</p>"
Infrastructure as code,Adopt,Techniques,FALSE,"<p>Although <strong>infrastructure as code</strong> is a relatively old technique, it has become vitally important in the modern cloud era where the act of setting up infrastructure has become the passing of configuration instructions to a cloud platform. When we say ""as code"" we mean that all the good practices we've learned in the software world should be applied to infrastructure. Using source control, adhering to the <a href=""https://en.wikipedia.org/wiki/Don%27t_repeat_yourself"">DRY principle</a>, modularization, maintainability, and using automated testing and deployment are all critical practices. Those of us with a deep software and infrastructure background need to empathize with and support colleagues who do not. Saying ""treat infrastructure like code"" isn't enough; we need to ensure the hard-won learnings from the software world are also applied consistently throughout the infrastructure realm.</p>"
API Management,Adopt,Techniques,FALSE,"<p>We are strongly moving towards <strong><a href=""https://medium.com/better-practices/api-first-software-development-for-modern-organizations-fdbfba9a66d3"">API First strategy</a></strong> treating our APIs as first-class-citizens. As we setup more and more SCS, the amount of exposed APIs grow with heavy magnitute and require an <a href=""https://www.redhat.com/en/topics/api/what-is-api-management"">API Management</a> tool. With this tool, we want to have a centralized control on our APIs including life cycle management, analytics, access control, monetization, and developer portal. Our APIs are defined using <a href=""https://www.openapis.org/"">OpenAPI Specification (OAS)</a> standard and we recognize this to be most popular open-source framework for defining and documenting REST APIs.</p>"
Multi-Tenancy,Adopt,Techniques,FALSE,"<p>We commit ourselves in developing/modernizing our applications (and its architecture) to be <strong><a href=""https://en.wikipedia.org/wiki/Multitenancy"">multi-tenant</a></strong> in nature.</p>"
SaaS Deployment model,Adopt,Techniques,FALSE,"<p>We commit ourselves for <strong><a href=""https://en.wikipedia.org/wiki/Software_as_a_service"">SaaS deployment model</a></strong> and be its advocates in our domains/ products allowing us (as a company) to centrally host as well as use cloud benefits at its full stength.</p>"
Hybrid Deployment model,Adopt,Techniques,FALSE,"<p>In our journey of modernizing products towards cloud-nativeness, we will still be required to support our proprietary/classic sub-systems resulting in co-existance of cloud-native sub-systems and proprietary/classic sub-systems. During this transformation phase as well as to ensure constant transformation progress, a <strong><a href=""https://azure.microsoft.com/en-us/overview/what-is-hybrid-cloud-computing/"">Hybrid Cloud</a></strong> setup is intended to be used where newly developed/modernized sub-systems will be operated in a SaaS model connecting to our proprietary/classic sub-systems potentially operating in private/customer data-centers.</p>"
2-Factor Authentication,Adopt,Techniques,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/Multi-factor_authentication"">2-Factor Auth</a></strong> for our web and mobile apps.</p>"
Client Side Load Balancing,Adopt,Techniques,FALSE,"<p><strong><a href=""https://medium.com/@mstykt/load-balancing-in-microservices-474ad84b847d"">Client Side Loadbalancing</a></strong> ensure fail-safety in production by reaching one of multiple instances of the same application where the caller (aka the client) handles the load balancing by using well established frameworks like <strong><a href=""https://spring.io/guides/gs/spring-cloud-loadbalancer/"">Spring Cloud LoadBalancer</a></strong>, <strong><a href=""https://cloud.spring.io/spring-cloud-netflix/multi/multi_spring-cloud-ribbon.html"">Spring Cloud Ribbon</a></strong>, <strong><a href=""https://spring.io/projects/spring-cloud-openfeign"">Spring Cloud OpenFeign</a></strong></p>"
Feature toggle,Adopt,Techniques,FALSE,"<p><strong><a href=""https://www.thoughtworks.com/radar/techniques/simplest-possible-feature-toggle"">Feature toggles</a></strong> are powerful technique to modify system behavior without changing code and allows going towards <a href=""https://martinfowler.com/articles/continuousIntegration.html"">Continuous Integration</a>. We recommend using frameworks like <a href=""https://unleash.github.io/"">Unleash</a> or <a href=""https://ff4j.org/"">FF4J</a>. Unless A/B testing or <a href=""https://martinfowler.com/bliki/CanaryRelease.html"">canary release</a> are required, we encourage to use the <strong>simplest possible feature toggle</strong> instead of unnecessarily complex frameworks.</p>"
Strangler Pattern,Adopt,Techniques,FALSE,"<p><strong><a href=""https://microservices.io/patterns/refactoring/strangler-application.html"">Strangler Pattern</a></strong>  to incrementally transform out monolithic application into <a href=""https://scs-architecture.org/"">Self-Contained Systems</a>.</p>"
Test Driven Development,Adopt,Techniques,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/Test-driven_development"">Test Driven Development (TDD)</a></strong> as a test-first practice when developing our applications.</p>"
Micro frontends,Trial,Techniques,FALSE,"<p><strong><a href=""https://micro-frontends.org/"">Micro-frontends</a></strong> extends the concepts of <strong><a href=""https://martinfowler.com/articles/microservices.html"">microservices</a></strong> to the frontend world. The idea is to think about a web app as a composition of features which are owned by independent teams. Each team has a distinct area of business it cares about and specialises in. <strong><a href=""https://micro-frontends.org/"">Micro-frontends</a></strong> can be implemented using various web programming frameworks like <strong><a href=""https://reactjs.org/"">React.js</a></strong>, <strong><a href=""https://angularjs.org/"">Angular.js</a></strong> or even a combination of these (only as part of deliberate transition strategy, in other words avoid microfrontend anarchy). We're confident this style will allow our organization to decompose UI and enable parallel development across multiple teams.</p>"
Consumer Driven Contracts,Trial,Techniques,FALSE,"<p><strong><a href=""https://www.martinfowler.com/articles/consumerDrivenContracts.html"">Consumer Driven Contracts</a></strong> are an essential part of a mature <strong><a href=""https://martinfowler.com/articles/microservices.html"">microservices</a></strong> testing portfolio, enabling independent service deployments. Frameworks like <strong><a href=""https://pact.io/"">pact</a></strong>, <strong><a href=""https://spring.io/projects/spring-cloud-contract"">spring-cloud-contract</a></strong> are intented to be used as they make proper contract tests easier to implement.</p>"
Server to Client Events,Trial,Techniques,FALSE,"<p>In order to achieve near-realtime, reactive web and mobile applications, server to client communication patterns are supported by using tools and platforms like <a href=""https://en.wikipedia.org/wiki/WebSocket"">WebSockets </a>, <a href=""https://firebase.google.com/docs/cloud-messaging""> Firebase Cloud Messaging (FCM)</a>.</p>"
OpenMessaging,Assess,Techniques,FALSE,"<p><strong><a href=""http://openmessaging.cloud/"">OpenMessaging</a></strong> for selecting our streaming and messaging tools and to avoid cross tool compatibility issues.</p>"
CloudEvents,Assess,Techniques,FALSE,"<p><strong><a href=""https://cloudevents.io/"">CloudEvents</a></strong> is a specification for describing event data in a common way, especially in serverless applications</p>"
Chaos Engineering,Assess,Techniques,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/Chaos_engineering"">Chaos Engineering</a></strong> will allows us to experiment our cloud-native softwares and build confidence in withstanding unexpected conditions.</p>"
